"SentenceNo","Score"
"0","2"
"1","1"
"2","5"
"3","2"
"4","1"
"5","1"
"6","1"
"7","2"
"8","0"
"9","2"
"10","1"
"11","5"
"12","3"
"13","1"
"14","1"
"15","3"
"16","1"
"17","4"
"18","1"
"19","2"
"20","1"
"21","3"
"22","3"
"23","2"
"24","1"
"25","5"
"26","2"
"27","1"
"28","1"
"29","2"
"30","5"
"31","2"
"32","1"
"33","1"
"34","2"
"35","1"
"36","5"
"37","3"
"38","2"
"39","1"
"40","5"
"41","1"
"42","1"
"43","2"
"44","2"
"45","1"
"46","3"
"47","2"
"48","3"
"49","2"
"50","1"
"51","2"
"52","1"
"53","3"
"54","3"
"55","5"
"56","2"
"57","1"
"58","3"
"59","3"
"60","3"
"61","1"
"62","1"
"63","2"
"64","1"
"65","2"
"66","2"
"67","2"
"68","1"
"69","2"
"70","1"
"71","1"
"72","2"
"73","1"
"74","1"
"75","2"
"76","2"
"77","1"
"78","1"
"79","2"
"80","1"
"81","1"
"82","3"
"83","1"
"84","1"
"85","3"
"86","1"
"87","1"
"88","1"
"89","3"
"90","3"
"91","3"
"92","1"
"93","3"
"94","1"
"95","1"
"96","1"
"97","2"
"98","3"
"99","1"
"100","1"
"101","1"
"102","1"
"103","1"
"104","1"
"105","1"
"106","1"
"107","1"
"108","2"
"109","2"
"110","2"
"111","3"
"112","1"
"113","2"
"114","3"
"115","1"
"116","2"
"117","1"
"118","3"
"119","1"
"120","5"
"121","2"
"122","2"
"123","1"
"124","1"
"125","2"
"126","2"
"127","2"
"128","2"
"129","3"
"130","1"
"131","2"
"132","2"
"133","3"
"134","1"
"135","1"
"136","1"
"137","3"
"138","1"
"139","1"
"140","1"
"141","3"
"142","1"
"143","1"
"144","2"
"145","1"
"146","2"
"147","1"
"148","3"
"149","1"
"150","1"
"151","2"
"152","3"
"153","2"
"154","2"
"155","2"
"156","1"
"157","1"
"158","2"
"159","2"
"160","1"
"161","2"
"162","2"
"163","2"
"164","1"
"165","1"
"166","1"
"167","1"
"168","1"
"169","1"
"170","1"
"171","3"
"172","1"
"173","1"
"174","2"
"175","3"
"176","5"
"177","3"
"178","3"
"179","1"
"180","2"
"181","2"
"182","1"
"183","1"
"184","1"
"185","2"
"186","2"
"187","5"
"188","1"
"189","3"
"190","2"
"191","5"
"192","2"
"193","2"
"194","2"
"195","3"
"196","2"
"197","2"
"198","1"
"199","1"
"200","1"
"201","2"
"202","2"
"203","2"
"204","1"
"205","1"
"206","1"
"207","3"
"208","1"
"209","1"
"210","3"
"211","3"
"212","2"
"213","1"
"214","1"
"215","1"
"216","1"
"217","1"
"218","1"
"219","1"
"220","1"
"221","2"
"222","2"
"223","3"
"224","3"
"225","5"
"226","1"
"227","1"
"228","5"
"229","1"
"230","2"
"231","1"
"232","2"
"233","5"
"234","1"
"235","2"
"236","2"
"237","3"
"238","2"
"239","1"
"240","1"
"241","1"
"242","5"
"243","2"
"244","5"
"245","1"
"246","1"
"247","1"
"248","5"
"249","2"
"250","2"
"251","1"
"252","3"
"253","5"
"254","1"
"255","2"
"256","1"
"257","2"
"258","2"
"259","2"
"260","2"
"261","2"
"262","2"
"263","2"
"264","3"
"265","1"
"266","2"
"267","1"
"268","2"
"269","2"
"270","2"
"271","1"
"272","2"
"273","1"
"274","1"
"275","1"
"276","1"
"277","1"
"278","2"
"279","2"
"280","3"
"281","1"
"282","2"
"283","1"
"284","1"
"285","1"
"286","1"
"287","2"
"288","2"
"289","1"
"290","3"
"291","1"
"292","1"
"293","1"
"294","1"
"295","1"
"296","1"
"297","2"
"298","2"
"299","3"
"300","2"
"301","2"
"302","2"
"303","1"
"304","2"
"305","2"
"306","2"
"307","3"
"308","5"
"309","1"
"310","2"
"311","3"
"312","3"
"313","2"
"314","1"
"315","2"
"316","2"
"317","1"
"318","2"
"319","2"
"320","1"
"321","1"
"322","5"
"323","2"
"324","1"
"325","1"
"326","1"
"327","1"
"328","1"
"329","1"
"330","1"
"331","1"
"332","5"
"333","1"
"334","5"
"335","2"
"336","2"
"337","3"
"338","1"
"339","1"
"340","1"
"341","1"
"342","1"
"343","1"
"344","1"
"345","1"
"346","3"
"347","3"
"348","1"
"349","2"
"350","1"
"351","1"
"352","1"
"353","1"
"354","3"
"355","1"
"356","1"
"357","2"
"358","1"
"359","1"
"360","3"
"361","1"
"362","3"
"363","3"
"364","3"
"365","1"
"366","1"
"367","1"
"368","1"
"369","1"
"370","2"
"371","2"
"372","1"
"373","1"
"374","1"
"375","3"
"376","5"
"377","3"
"378","2"
"379","1"
"380","3"
"381","3"
"382","1"
"383","1"
"384","1"
"385","3"
"386","3"
"387","3"
"388","2"
"389","1"
"390","2"
"391","1"
"392","3"
"393","5"
"394","2"
"395","3"
"396","1"
"397","1"
"398","1"
"399","5"
"400","1"
"401","3"
"402","1"
"403","1"
"404","1"
"405","1"
"406","5"
"407","1"
"408","1"
"409","1"
"410","1"
"411","3"
"412","1"
"413","1"
"414","1"
"415","0"
"416","2"
"417","1"
"418","2"
"419","1"
"420","3"
"421","3"
"422","3"
"423","1"
"424","3"
"425","3"
"426","1"
"427","1"
"428","1"
"429","1"
"430","2"
"431","1"
"432","1"
"433","2"
"434","1"
"435","1"
"436","2"
"437","3"
"438","2"
"439","3"
"440","3"
"441","5"
"442","2"
"443","1"
"444","3"
"445","1"
"446","1"
"447","5"
"448","1"
"449","0"
"450","1"
"451","3"
"452","1"
"453","1"
"454","1"
"455","2"
"456","2"
"457","2"
"458","5"
"459","1"
"460","2"
"461","1"
"462","1"
"463","0"
"464","1"
"465","1"
"466","1"
"467","3"
"468","1"
"469","2"
"470","0"
"471","3"
"472","2"
"473","1"
"474","1"
"475","3"
"476","2"
"477","2"
"478","1"
"479","2"
"480","2"
"481","1"
"482","5"
"483","5"
"484","3"
"485","1"
